categoryId;offer id;article;name_ua;price;stock_quantity
1554082;2863456708;201838;Свинцево-кислотна акумуляторна батарея Ritar RT1213 1.3 А•г 12В;374;12
1554082;2863456709;202093;Свинцево-кислотна акумуляторна батарея Full Energy FEP-124 4А•г 12В;471;15
1554082;2863456710;201845;Свинцево-кислотна акумуляторна батарея Ultracell UL7-12 7A•г 12В;830;7
1554082;2863456711;201847;Акумуляторна батарея CSB GP1245F2 12В 4.5А•г;912;9
1554082;2863456712;201841;Свинцево-кислотна акумуляторна батарея Full Energy FEP-121 1.2А•г 12В;307;17
1554082;2863456722;201855;Система керування високовольтним акумулятором Hyxipower HYX-EBDU-H2;19350;4
80108;2864529432;201740;Блок безперебійного живлення Kraft PSU-1203LED 12В 3А;1122;3
80108;2864529439;202083;Безперебійний блок живлення під акумулятор Faraday Electronics UPS ASCH PL 14В 2А 7А•г;805;1
80108;2864529449;202322;Джерело безперебійного живлення EnerGenie EG-UPS-001 650А апроксимована синусоїда;3713;6
80108;2870477249;201737;ББЖ KRAFT PSU-1220LED PSU-1220LED;3850;3
80108;2870477251;201728;Блок безперебійного живлення Tiras 1230 12В 3А;7392;5
80108;2870477263;201733;Джерело безперебійного живлення Kraft PSU-1208LED(P);1817;1
80108;2871159745;202308;Блок безперебійного живлення Faraday Electronics UPS 35Вт Smart ASCH PL (LFP);958;1
1554082;2888453431;201848;Акумуляторна батарея MERLION AGM GP1270F2 12В 7А•г;688;2
80108;2890075002;201726;ДБЖ під акб 12В/7A EuroPower EP-UPS-1203(M) 13.8В 3А;1029;3
80108;2890075003;201723;ДБЖ під акб 12В/7A EuroPower EP-UPS-1205(M) 12В 5А;1389;17
80108;2893798935;202309;Безперебійний блок живлення 12-18 А●год Faraday Electronics 85W UPS Smart ASCH ALU;2071;2
1554082;2896958857;202263;Літієва акумуляторна батарея Merlion LFP12.8-6US 12.8В 6А•год;1468;17
80108;2897738011;201736;Джерело безперебійного живлення Kraft PSU-2425LED;1998;3
80108;2902612467;201743;Джерело безперебійного живлення Kraft PSU-1205/8CH;1625;2
1554082;2904609799;201834;Свинцево-кислотна акумуляторна батарея Full Energy FEL-1218 18 А•г 12В;1844;12
4674585;2905474634;202166;Портативне джерело живлення V-TAC VT-303N 300Вт LiFePO4 19.2В 15А•г;9280;2
1554082;2905474638;201854;Літієва акумуляторна батарея FelicityESS FLA24100-EU 24В 100А•г 2.56кВт•г;32583;17
1554082;2907515914;202312;Модульна літієва акумуляторна батарея Deye BOS-G-Pack 5.1 51.2В 100 А•г 125А високовольтна сумістна з 99-10025465;41875;6
1554082;2915336665;203126;Свинцево-кислотна акумуляторна батарея Full Energy FEP-129 9А•г 12В;864;17
1554082;2926165032;201853;Літієва акумуляторна батарея Redodo 12.8V 100Ah Mini 1280Вт•г LiFePO4;15580;5
1554082;2928078471;201850;Акумуляторна батарея LiTime LiFePO4 12V 100Ah bluetooth;13558;7
1554082;2928078481;201851;Акумуляторна батарея Power Queen LiFePO4 12V 100Ah H190;13558;17
1554082;2930992568;202126;Літієва акумуляторна батарея Renon Xcellent Plus 51.2В 314А•г;123169;1
1554082;2930992569;202127;Аккумуляторна батарея Power Queen LiFePO4 12.8В 100А•г Mini 1280Вт•г;13514;5
1554082;2932004720;202163;Літієва акумуляторна батарея Pylontech US5000 48В 100 А●год 100А;59562;4
1554082;2932004721;202159;Акумуляторна батарея CSB HRL1210W F2FR 12В 2.3А•г;937;1
4674585;2938088089;202251;Зарядна станція Pecron E300LFP 288Wh;11794;2
1554082;2939638815;202261;Акумуляторна батарея LP12-100 100Ah 12V 100A LCD;14684;17
1554082;2941116806;202289;Свинцево-кислотна акумуляторна батарея TRINIX SUPER CHARGE 9А•г 12В;852;4
1554082;2941116809;202290;Акумуляторна батарея MERLION AGM GP12180M5 12В 18 А•г;1455;8
80108;2944725502;202323;Джерело безперебійного живлення EnerGenie EG-UPS-002 850ВA апроксимована синусоїда;4533;3
80108;2944725503;202324;Джерело безперебійного живлення EnerGenie EG-UPS-031 650ВA апроксимована синусоїда;3986;6
80108;2944725505;202319;Джерело безперебійного живлення EnerGenie EG-UPS-033 1200ВA апроксимована синусоїда;6822;2
80108;2944725506;202325;Джерело безперебійного живлення EnerGenie EG-UPS-034 1500ВA апроксимована синусоїда;7598;1
80108;2944725507;202320;Джерело безперебійного живлення EnerGenie EG-UPS-B650 650ВA апроксимована синусоїда;3168;4
80108;2944725508;202321;Джерело безперебійного живлення EnerGenie EG-UPS-B850 850ВA апроксимована синусоїда;4123;2
1554082;2949506585;202405;Акумуляторна батарея TRINIX 12V7,2Ah/20Hr;663;17
1554082;2965065159;202404;Свинцево-кислотна акумуляторна батарея Ultracell UL9-12 9A•г 12В;1123;3
1554082;2979112884;204493;Свинцево-кислотна акумуляторна батарея Ritar RT1270 7А•г 12В;570;15
80108;2979439505;203114;ДБЖ під акб 12В/17A EuroPower EP-UPS-1205HCU(P) 13,8/14.4В 2А;1854;4
80108;2979439506;203118;ДБЖ під акб 12В/7A EuroPower EP-UPS-1205HC(M) 14.4В 2А;1887;9
80108;2979439508;203115;ДБЖ під акб 12В/7A EuroPower EP-UPS-1203HC(P) 14.4В 2А;1370;6
80108;2979591615;203122;Джерело безперебійного живлення Europower EPWM-MPS-2500/24 (1800 Вт) з правильною синусоїдою;11538;2
80108;2979591616;203113;ДБЖ під акб 12В/17A EuroPower EP-UPS-1203HCU(P) 14.4В 2А;1742;9
1554082;2983439616;203276;Балансир для акумуляторних батарей Voltronic 12V BE-12;897;5
1554082;2983439628;203394;Акумулятор 18В Li-Power 2.0А•г Metabo (625026000);2450;2
1554082;2983439629;203365;Акумулятор 18В Li-Power 4.0Аг Metabo (625027000);3663;2
1554082;2988357757;204438;Акумуляторна батарея DСHOUSE 12.8V 200Ah (ECO-LFP12200);22745;2
1554082;2988357758;204131;Акумуляторна батарея DСHOUSE 12.8V 100Ah (ECO-LFP1210004) Bluetooth;14936;2
1554082;2991767603;204247;Літієва акумуляторна батарея Merlion LFP12.8-18US 12.8В 18А•год;3648;1
1554082;2991767605;204280;Літієва акумуляторна батарея Merlion LiFePO4 12.8В 24А•г;4125;4
1554082;2993152762;100197;Акумулятор EnerGo GEL 12V 200Ah (NRG-GL12200);17739;5
4674585;2993152778;100200;Зарядна станція Oukitel P2001E PLUS Gray;48151;4
1554082;2995844280;204367;Акумуляторний блок Metabo LiHD 18 В (625549000) 10 А·год;9322;1
1554082;2997952784;204285;Свинцево-кислотна акумуляторна батарея MERLION GL12170M5 17 A•год 12В гелева;1624;15
80108;2998542268;204355;ББЖ 1 канальний PSU-1210LED 12V 10А;2533;2
80108;2998542273;204211;Джерело безперебійного живлення Kraft PSU-1205LED(B);1454;1
80108;2998542274;204466;Джерело безперебійного живлення Kraft PSU-1210/16CH;2840;3
1554082;2999450721;204340;Стойка для 14 висковольтних батарей Deye BOS-A-Rack-14 floors;29243;2
1554082;2999649662;204213;Акумуляторна батарея Ritar RT12120;1403;14
1554082;2999649663;204324;Акумуляторна батарея Ritar R-LFP12.8V24AH;4992;10
1554082;2999649664;204198;Акумуляторна батарея Ritar RT1250(12V5AH);538;3
